Frequency (Hz),Channel 1 Magnitude (dB)
44262.8,-0.384322
44299.6,-0.406177
44336.5,-0.462778
44373.4,-0.435619
44410.4,-0.430145
44447.3,-0.373755
44484.3,-0.31768
44521.4,-0.412273
44558.5,-0.487225
44595.6,-0.293319
44632.7,-0.309822
44669.9,-0.323022
44707.1,-0.418788
44744.3,-0.306618
44781.5,-0.390691
44818.8,-0.371738
44856.1,-0.364209
44893.5,-0.386629
44930.9,-0.38783
44968.3,-0.288712
45005.7,-0.332794
45043.2,-0.427617
45080.7,-0.400106
45118.2,-0.266968
45155.8,-0.435385
45193.4,-0.392406
45231,-0.369484
45268.7,-0.297977
45306.4,-0.436498
45344.1,-0.367848
45381.9,-0.426082
45419.7,-0.3726
45457.5,-0.47291
45495.3,-0.403967
45533.2,-0.411784
45571.1,-0.354701
45609.1,-0.467593
45647,-0.287336
45685,-0.396487
45723.1,-0.27936
45761.2,-0.271671
45799.3,-0.500373
45837.4,-0.361244
45875.6,-0.465616
45913.8,-0.331692
45952,-0.304372
45990.3,-0.389436
46028.5,-0.304543
46066.9,-0.264344
46105.2,-0.446023
46143.6,-0.375024
46182,-0.310608
46220.5,-0.297863
46259,-0.327886
46297.5,-0.400879
46336,-0.35112
46374.6,-0.324066
46413.2,-0.334668
46451.9,-0.348805
46490.6,-0.381773
46529.3,-0.316538
46568,-0.285882
46606.8,-0.355495
46645.6,-0.324846
46684.4,-0.551331
46723.3,-0.388733
46762.2,-0.348761
46801.1,-0.321255
46840.1,-0.409839
46879.1,-0.376342
46918.2,-0.297047
46957.2,-0.493194
46996.3,-0.29323
47035.4,-0.459464
47074.6,-0.343158
47113.8,-0.294761
47153,-0.412453
47192.3,-0.400605
47231.6,-0.37896
47270.9,-0.333651
47310.3,-0.436457
47349.7,-0.283219
47389.1,-0.472413
47428.6,-0.486503
47468,-0.333311
47507.6,-0.348108
47547.1,-0.450867
47586.7,-0.300063
47626.3,-0.378687
47666,-0.317098
47705.7,-0.436724
47745.4,-0.310304
47785.2,-0.411048
47825,-0.353235
47864.8,-0.389116
47904.6,-0.418731
47944.5,-0.305867
47984.4,-0.316411
48024.4,-0.293216
48064.4,-0.383758
48104.4,-0.265225
48144.5,-0.31191
48184.5,-0.414439
48224.7,-0.431749
48264.8,-0.209215
48305,-0.375178
48345.2,-0.317952
48385.5,-0.320209
48425.8,-0.424478
48466.1,-0.431949
48506.4,-0.484642
48546.8,-0.389996
48587.3,-0.421206
48627.7,-0.325308
48668.2,-0.404365
48708.7,-0.301192
48749.3,-0.482735
48789.9,-0.387784
48830.5,-0.432362
48871.2,-0.363848
48911.8,-0.43057
48952.6,-0.288892
48993.3,-0.271457
49034.1,-0.305565
49075,-0.561262
49115.8,-0.292762
49156.7,-0.392808
49197.6,-0.424868
49238.6,-0.319825
49279.6,-0.402561
49320.6,-0.356381
49361.7,-0.409841
49402.8,-0.385977
49443.9,-0.285103
49485.1,-0.384585
49526.3,-0.422434
49567.6,-0.30253
49608.8,-0.466565
49650.1,-0.32616
49691.5,-0.398635
49732.8,-0.398753
49774.3,-0.403368
49815.7,-0.426441
49857.2,-0.192241
49898.7,-0.456923
49940.2,-0.277481
49981.8,-0.351936
50023.4,-0.418099
50065.1,-0.405993
50106.8,-0.305699
50148.5,-0.337262
50190.3,-0.380126
50232,-0.362851
50273.9,-0.388445
50315.7,-0.452587
50357.6,-0.370821
50399.6,-0.320756
50441.5,-0.399609
50483.5,-0.277041
50525.6,-0.378155
50567.6,-0.378963
50609.7,-0.40675
50651.9,-0.464333
50694,-0.325635
50736.3,-0.461493
50778.5,-0.448456
50820.8,-0.274251
50863.1,-0.421394
50905.5,-0.269742
50947.8,-0.272713
50990.3,-0.419569
51032.7,-0.474239
51075.2,-0.364789
51117.7,-0.395911
51160.3,-0.306557
51202.9,-0.334575
51245.5,-0.389882
51288.2,-0.295848
51330.9,-0.30993
51373.6,-0.441227
51416.4,-0.307642
51459.2,-0.394418
51502.1,-0.35409
51545,-0.466672
51587.9,-0.349942
51630.8,-0.391812
51673.8,-0.379601
51716.9,-0.359251
51759.9,-0.378106
51803,-0.412659
51846.1,-0.447394
51889.3,-0.312201
51932.5,-0.335472
51975.8,-0.443797
52019,-0.288543
52062.4,-0.318582
52105.7,-0.344892
52149.1,-0.313015
52192.5,-0.32174
52236,-0.283847
52279.5,-0.359293
52323,-0.290292
52366.6,-0.209942
52410.2,-0.364631
52453.8,-0.380744
52497.5,-0.404801
52541.2,-0.259989
52584.9,-0.345179
52628.7,-0.290369
52672.5,-0.272809
52716.4,-0.385325
52760.3,-0.350661
52804.2,-0.406475
52848.2,-0.415384
52892.2,-0.323166
52936.2,-0.288988
52980.3,-0.255915
53024.4,-0.433719
53068.6,-0.267721
53112.8,-0.462776
53157,-0.306028
53201.2,-0.225679
53245.5,-0.357215
53289.9,-0.52002
53334.3,-0.47819
53378.7,-0.361836
53423.1,-0.381577
53467.6,-0.377626
53512.1,-0.451034
53556.7,-0.335246
53601.3,-0.486371
53645.9,-0.38781
53690.6,-0.23627
53735.3,-0.363178
53780,-0.435607
53824.8,-0.453914
53869.6,-0.347266
53914.5,-0.420306
53959.3,-0.390878
54004.3,-0.323231
54049.2,-0.349419
54094.2,-0.350323
54139.3,-0.307029
54184.4,-0.369814
54229.5,-0.315114
54274.6,-0.385652
54319.8,-0.17604
54365.1,-0.301938
54410.3,-0.294756
54455.6,-0.411594
54501,-0.492168
54546.4,-0.509377
54591.8,-0.430838
54637.2,-0.404203
54682.7,-0.406811
54728.3,-0.514472
54773.8,-0.402178
54819.4,-0.488476
54865.1,-0.341028
54910.8,-0.322538
54956.5,-0.301133
55002.2,-0.359149
55048,-0.465198
55093.9,-0.51739
55139.7,-0.430072
55185.7,-0.32572
55231.6,-0.444868
55277.6,-0.456971
55323.6,-0.436069
55369.7,-0.403775
55415.8,-0.293626
55461.9,-0.470976
55508.1,-0.276903
55554.3,-0.363544
55600.6,-0.233153
55646.9,-0.389917
55693.2,-0.397938
55739.6,-0.199123
55786,-0.458129
55832.5,-0.338273
55878.9,-0.339882
55925.5,-0.465781
55972,-0.444736
56018.6,-0.327434
56065.3,-0.307699
56112,-0.286799
56158.7,-0.331771
56205.4,-0.555812
56252.2,-0.346921
56299.1,-0.401055
56346,-0.291534
56392.9,-0.570524
56439.8,-0.258477
56486.8,-0.425056
56533.9,-0.457535
56580.9,-0.34409
56628,-0.547927
56675.2,-0.505904
56722.4,-0.366603
56769.6,-0.593383
56816.9,-0.361949
56864.2,-0.356865
56911.5,-0.257889
56958.9,-0.279958
57006.4,-0.282455
57053.8,-0.516185
57101.3,-0.331661
57148.9,-0.429563
57196.5,-0.533127
57244.1,-0.379896
57291.7,-0.341526
57339.4,-0.388028
57387.2,-0.391534
57435,-0.532342
57482.8,-0.36125
57530.7,-0.365588
57578.6,-0.301147
57626.5,-0.337517
57674.5,-0.32955
57722.5,-0.349634
57770.6,-0.352352
57818.7,-0.462547
57866.8,-0.367699
57915,-0.503216
57963.2,-0.329422
58011.5,-0.465335
58059.8,-0.444845
58108.1,-0.31225
58156.5,-0.294637
58204.9,-0.323849
58253.4,-0.367464
58301.9,-0.352504
58350.5,-0.275791
58399,-0.337941
58447.7,-0.353263
58496.3,-0.388074
58545,-0.379539
58593.8,-0.429711
58642.6,-0.504041
58691.4,-0.415983
58740.3,-0.416737
58789.2,-0.521068
58838.1,-0.347302
58887.1,-0.450698
58936.2,-0.419183
58985.2,-0.353827
59034.3,-0.426352
59083.5,-0.374794
59132.7,-0.363111
59181.9,-0.261336
59231.2,-0.383508
59280.5,-0.378308
59329.9,-0.496373
59379.3,-0.456153
59428.7,-0.443791
59478.2,-0.438978
59527.7,-0.273546
59577.3,-0.385973
59626.9,-0.382129
59676.6,-0.380022
59726.2,-0.340001
59776,-0.336347
59825.7,-0.330468
59875.6,-0.464859
59925.4,-0.273769
59975.3,-0.365049
60025.3,-0.408464
60075.2,-0.345806
60125.3,-0.292612
60175.3,-0.352768
60225.4,-0.278511
60275.6,-0.420952
60325.8,-0.305801
60376,-0.421887
60426.3,-0.330545
60476.6,-0.381007
60526.9,-0.371566
60577.3,-0.411386
60627.8,-0.323208
60678.2,-0.450922
60728.8,-0.343601
60779.3,-0.423583
60829.9,-0.471447
60880.6,-0.401624
60931.3,-0.315641
60982,-0.228078
61032.8,-0.260773
61083.6,-0.404249
61134.5,-0.327804
61185.4,-0.342722
61236.3,-0.26749
61287.3,-0.341522
61338.3,-0.402124
61389.4,-0.372194
61440.5,-0.287153
61491.7,-0.404649
61542.9,-0.376564
61594.1,-0.393287
61645.4,-0.380806
61696.7,-0.40417
61748.1,-0.43579
61799.5,-0.391328
61851,-0.292288
61902.5,-0.34088
61954,-0.385417
62005.6,-0.348687
62057.2,-0.377985
62108.9,-0.360238
62160.6,-0.289171
62212.4,-0.267511
62264.2,-0.318769
62316,-0.342503
62367.9,-0.310816
62419.9,-0.322734
62471.8,-0.437667
62523.8,-0.372515
62575.9,-0.472939
62628,-0.52336
62680.2,-0.524551
62732.3,-0.362839
62784.6,-0.387218
62836.9,-0.521052
62889.2,-0.311719
62941.5,-0.319066
62994,-0.313961
63046.4,-0.457452
63098.9,-0.50283
63151.4,-0.322496
63204,-0.404021
63256.6,-0.417557
63309.3,-0.317273
63362,-0.545059
63414.8,-0.35754
63467.6,-0.37037
63520.4,-0.344758
63573.3,-0.308026
63626.3,-0.382901
63679.2,-0.305331
63732.3,-0.409082
63785.3,-0.448218
63838.4,-0.387024
63891.6,-0.486048
63944.8,-0.488893
63998,-0.36917
64051.3,-0.473808
64104.7,-0.407744
64158,-0.409739
64211.5,-0.490879
64264.9,-0.469151
64318.4,-0.417714
64372,-0.510841
64425.6,-0.372934
64479.2,-0.515212
64532.9,-0.295876
64586.6,-0.39528
64640.4,-0.357617
64694.2,-0.278895
64748.1,-0.375063
64802,-0.285755
64856,-0.351934
64910,-0.297375
64964,-0.343766
65018.1,-0.333534
65072.3,-0.390967
65126.4,-0.378814
65180.7,-0.380236
65234.9,-0.330333
65289.3,-0.466269
65343.6,-0.309682
65398,-0.315255
65452.5,-0.399111
65507,-0.393523
65561.5,-0.296517
65616.1,-0.543241
65670.8,-0.409383
65725.4,-0.399844
65780.2,-0.325831
65834.9,-0.412896
65889.8,-0.317865
65944.6,-0.294951
65999.5,-0.356915
66054.5,-0.345676
66109.5,-0.571354
66164.5,-0.333486
66219.6,-0.416399
66274.8,-0.387658
66329.9,-0.45353
66385.2,-0.478882
66440.4,-0.353648
66495.8,-0.381983
66551.1,-0.379622
66606.5,-0.436107
66662,-0.421837
66717.5,-0.322102
66773.1,-0.408482
66828.7,-0.561105
66884.3,-0.499513
66940,-0.400955
66995.7,-0.348257
67051.5,-0.365631
67107.3,-0.423918
67163.2,-0.459392
67219.1,-0.444667
67275.1,-0.451727
67331.1,-0.497554
67387.2,-0.421029
67443.3,-0.404835
67499.5,-0.351565
67555.7,-0.359109
67611.9,-0.248183
67668.2,-0.286292
67724.6,-0.463853
67780.9,-0.338371
67837.4,-0.319486
67893.9,-0.505414
67950.4,-0.293775
68007,-0.486895
68063.6,-0.368993
68120.3,-0.364098
68177,-0.364198
68233.8,-0.380187
68290.6,-0.403207
68347.4,-0.349112
68404.3,-0.363744
68461.3,-0.277344
68518.3,-0.444715
68575.4,-0.364514
68632.5,-0.362199
68689.6,-0.284841
68746.8,-0.313359
68804,-0.548995
68861.3,-0.464044
68918.7,-0.305884
68976.1,-0.460751
69033.5,-0.444235
69091,-0.486308
69148.5,-0.443168
69206.1,-0.515953
69263.7,-0.406398
69321.4,-0.331693
69379.1,-0.345905
69436.9,-0.405402
69494.7,-0.339252
69552.5,-0.428307
69610.4,-0.427134
69668.4,-0.479805
69726.4,-0.37398
69784.5,-0.439209
69842.6,-0.397381
69900.7,-0.493745
69958.9,-0.443348
70017.2,-0.381265
70075.5,-0.394299
70133.8,-0.440657
70192.2,-0.43565
70250.7,-0.433789
70309.2,-0.405126
70367.7,-0.391594
70426.3,-0.438079
70484.9,-0.556885
70543.6,-0.498477
70602.4,-0.497697
70661.2,-0.341243
70720,-0.387153
70778.9,-0.281119
70837.8,-0.284739
70896.8,-0.532119
70955.8,-0.459884
71014.9,-0.44025
71074,-0.432166
71133.2,-0.375742
71192.5,-0.386983
71251.7,-0.353991
71311.1,-0.260221
71370.4,-0.382021
71429.9,-0.437438
71489.3,-0.465668
71548.9,-0.443863
71608.4,-0.440316
71668.1,-0.443747
71727.7,-0.347538
71787.5,-0.485819
71847.2,-0.501253
71907.1,-0.310452
71966.9,-0.324199
72026.9,-0.544176
72086.8,-0.464649
72146.8,-0.402066
72206.9,-0.449701
72267,-0.393051
72327.2,-0.398018
72387.4,-0.498045
72447.7,-0.449827
72508,-0.289016
72568.4,-0.517999
72628.8,-0.207899
72689.3,-0.429714
72749.8,-0.355771
72810.4,-0.416187
72871,-0.437044
72931.7,-0.472342
72992.4,-0.35654
73053.2,-0.37915
73114,-0.374401
73174.9,-0.412798
73235.8,-0.54348
73296.8,-0.50787
73357.9,-0.419524
73418.9,-0.40016
73480.1,-0.426439
73541.2,-0.340457
73602.5,-0.346287
73663.8,-0.416605
73725.1,-0.466883
73786.5,-0.334997
73847.9,-0.332062
73909.4,-0.43553
73971,-0.356247
74032.5,-0.327001
74094.2,-0.372604
74155.9,-0.192545
74217.6,-0.323808
74279.4,-0.408651
74341.3,-0.377603
74403.2,-0.443033
74465.1,-0.489449
74527.1,-0.400838
74589.2,-0.427588
74651.3,-0.528134
74713.5,-0.396021
74775.7,-0.287215
74837.9,-0.397084
74900.2,-0.347873
74962.6,-0.309208
75025,-0.476499
75087.5,-0.320152
75150,-0.431334
75212.6,-0.615046
75275.2,-0.371437
75337.9,-0.337231
75400.6,-0.391292
75463.4,-0.342568
75526.2,-0.339505
75589.1,-0.493013
75652.1,-0.560634
75715.1,-0.235658
75778.1,-0.392126
75841.2,-0.462318
75904.3,-0.530255
75967.5,-0.269116
76030.8,-0.577593
76094.1,-0.31013
76157.5,-0.352181
76220.9,-0.429392
76284.3,-0.445061
76347.9,-0.312491
76411.4,-0.320792
76475.1,-0.336255
76538.7,-0.4953
76602.5,-0.314379
76666.2,-0.356588
76730.1,-0.620222
76794,-0.546277
76857.9,-0.483258
76921.9,-0.422128
76986,-0.3526
77050.1,-0.439216
77114.2,-0.422563
77178.4,-0.284003
77242.7,-0.240081
77307,-0.266622
77371.4,-0.540957
77435.8,-0.447835
77500.3,-0.390449
77564.8,-0.450787
77629.4,-0.244955
77694,-0.45827
77758.7,-0.287966
77823.5,-0.311004
77888.3,-0.413973
77953.1,-0.400172
78018,-0.451417
78083,-0.485663
78148,-0.513653
78213.1,-0.332153
78278.2,-0.401053
78343.4,-0.291107
78408.6,-0.326512
78473.9,-0.445906
78539.2,-0.295405
78604.6,-0.497991
78670.1,-0.52708
78735.6,-0.376563
78801.1,-0.40536
78866.7,-0.392544
78932.4,-0.503971
78998.1,-0.542297
79063.9,-0.455184
79129.7,-0.291743
79195.6,-0.448317
79261.6,-0.31658
79327.6,-0.295953
79393.6,-0.356098
79459.7,-0.283794
79525.9,-0.427597
79592.1,-0.322039
79658.4,-0.37596
79724.7,-0.410556
79791.1,-0.391657
79857.5,-0.448471
79924,-0.413433
79990.6,-0.499487
80057.2,-0.522795
80123.8,-0.321114
80190.5,-0.395572
80257.3,-0.475035
80324.1,-0.535942
80391,-0.439673
80458,-0.27121
80525,-0.327309
80592,-0.506554
80659.1,-0.394609
80726.3,-0.46748
80793.5,-0.479016
80860.8,-0.393311
80928.1,-0.288146
80995.5,-0.412614
81062.9,-0.519144
81130.4,-0.52541
81198,-0.431347
81265.6,-0.337984
81333.2,-0.40697
81401,-0.383747
81468.7,-0.518892
81536.6,-0.378175
81604.5,-0.637303
81672.4,-0.293654
81740.4,-0.412651
81808.5,-0.448193
81876.6,-0.626577
81944.8,-0.455154
82013,-0.379608
82081.3,-0.36103
82149.6,-0.403933
82218,-0.531158
82286.5,-0.506075
82355,-0.39511
82423.6,-0.327933
82492.2,-0.432185
82560.9,-0.483259
82629.6,-0.377675
82698.4,-0.386581
82767.3,-0.379125
82836.2,-0.330792
82905.2,-0.524096
82974.2,-0.435149
83043.3,-0.533345
83112.5,-0.330381
83181.7,-0.366804
83250.9,-0.547702
83320.2,-0.444391
83389.6,-0.368432
83459,-0.367566
83528.5,-0.53465
83598.1,-0.419389
83667.7,-0.293275
83737.4,-0.46565
83807.1,-0.482683
83876.9,-0.386728
83946.7,-0.544303
84016.6,-0.363601
84086.6,-0.386019
84156.6,-0.326562
84226.6,-0.380146
84296.8,-0.334743
84367,-0.453298
84437.2,-0.408368
84507.5,-0.462168
84577.9,-0.326407
84648.3,-0.484351
84718.8,-0.238385
84789.3,-0.383506
84859.9,-0.579136
84930.6,-0.395912
85001.3,-0.513621
85072.1,-0.486431
85142.9,-0.350634
85213.8,-0.517433
85284.8,-0.530912
85355.8,-0.403993
85426.8,-0.51055
85498,-0.493599
85569.2,-0.460342
85640.4,-0.330771
85711.7,-0.357887
85783.1,-0.497161
85854.5,-0.445446
85926,-0.461434
85997.6,-0.322595
86069.2,-0.365309
86140.8,-0.465439
86212.5,-0.375415
86284.3,-0.355847
86356.2,-0.262642
86428.1,-0.521347
86500,-0.39004
86572.1,-0.561868
86644.2,-0.416912
86716.3,-0.553302
86788.5,-0.381315
86860.8,-0.453737
86933.1,-0.520901
87005.5,-0.443042
87077.9,-0.506692
87150.4,-0.455761
87223,-0.434604
87295.6,-0.339046
87368.3,-0.507571
87441,-0.561005
87513.9,-0.424436
87586.7,-0.287219
87659.6,-0.503062
87732.6,-0.615152
87805.7,-0.445787
87878.8,-0.449792
87952,-0.495396
88025.2,-0.411778
88098.5,-0.402833
88171.9,-0.319267
88245.3,-0.483048
88318.7,-0.48197
88392.3,-0.340772
88465.9,-0.549783
88539.5,-0.520197
88613.3,-0.566533
88687.1,-0.37947
88760.9,-0.540012
88834.8,-0.546318
88908.8,-0.542871
88982.8,-0.360068
89056.9,-0.335628
89131,-0.535455
89205.3,-0.436215
89279.5,-0.497702
89353.9,-0.516865
89428.3,-0.551829
89502.7,-0.560479
89577.3,-0.54469
89651.8,-0.426183
89726.5,-0.459782
89801.2,-0.559927
89876,-0.389324
89950.8,-0.469306
90025.7,-0.325002
90100.7,-0.492023
90175.7,-0.631025
90250.8,-0.382737
90325.9,-0.650668
90401.1,-0.408872
90476.4,-0.443197
90551.7,-0.493937
90627.1,-0.374861
90702.6,-0.474305
90778.1,-0.628152
90853.7,-0.424308
90929.4,-0.437077
91005.1,-0.423814
91080.8,-0.346821
91156.7,-0.337646
91232.6,-0.557494
91308.5,-0.501548
91384.6,-0.371218
91460.7,-0.622641
91536.8,-0.48054
91613,-0.571846
91689.3,-0.464154
91765.7,-0.388085
91842.1,-0.493422
91918.5,-0.314579
91995.1,-0.443991
92071.7,-0.372044
92148.3,-0.46813
92225.1,-0.499486
92301.9,-0.590562
92378.7,-0.5818
92455.6,-0.491933
92532.6,-0.583158
92609.7,-0.455402
92686.8,-0.518133
92763.9,-0.479531
92841.2,-0.563788
92918.5,-0.445566
92995.9,-0.386719
93073.3,-0.460202
93150.8,-0.491328
93228.4,-0.426141
93306,-0.356039
93383.7,-0.370768
93461.4,-0.407739
93539.2,-0.476388
93617.1,-0.451193
93695.1,-0.281241
93773.1,-0.555065
93851.2,-0.435792
93929.3,-0.420578
94007.5,-0.330097
94085.8,-0.344184
94164.1,-0.496214
94242.5,-0.507232
94321,-0.501897
94399.6,-0.439739
94478.2,-0.511184
94556.8,-0.401171
94635.6,-0.265642
94714.4,-0.385201
94793.2,-0.431064
94872.1,-0.423763
94951.1,-0.343957
95030.2,-0.280562
95109.3,-0.459157
95188.5,-0.370159
95267.8,-0.305084
95347.1,-0.42891
95426.5,-0.35488
95506,-0.301941
95585.5,-0.448178
95665.1,-0.496768
95744.7,-0.447286
95824.4,-0.266236
95904.2,-0.445748
95984.1,-0.502893
96064,-0.481071
96144,-0.42171
96224,-0.66548
96304.2,-0.405663
96384.4,-0.396825
96464.6,-0.396423
96544.9,-0.35067
96625.3,-0.418737
96705.8,-0.345403
96786.3,-0.414436
96866.9,-0.651487
96947.5,-0.479791
97028.3,-0.608662
97109,-0.309115
97189.9,-0.405981
97270.8,-0.486322
97351.8,-0.36748
97432.9,-0.3561
97514,-0.318106
97595.2,-0.377232
97676.5,-0.591498
97757.8,-0.43728
97839.2,-0.473581
97920.7,-0.742342
98002.2,-0.392842
98083.8,-0.575138
98165.5,-0.312144
98247.2,-0.562946
98329,-0.369061
98410.9,-0.529952
98492.8,-0.604635
98574.8,-0.538575
98656.9,-0.503274
98739.1,-0.40139
98821.3,-0.514064
98903.6,-0.691772
98985.9,-0.450404
99068.3,-0.468557
99150.8,-0.52642
99233.4,-0.302145
99316,-0.469725
99398.7,-0.604807
99481.5,-0.502697
99564.3,-0.367982
99647.2,-0.350812
99730.2,-0.444371
99813.2,-0.466678
99896.3,-0.505559
99979.5,-0.686161
100063,-0.283856
100146,-0.510219
100229,-0.651123
100313,-0.387216
100396,-0.589387
100480,-0.432412
100564,-0.61656
100647,-0.655054
100731,-0.545833
100815,-0.538757
100899,-0.66929
100983,-0.468941
101067,-0.568438
101151,-0.665812
101236,-0.531851
101320,-0.517385
101404,-0.603967
101489,-0.56315
101573,-0.63564
101658,-0.523971
101742,-0.456361
101827,-0.4744
101912,-0.701234
101997,-0.475056
102082,-0.405959
102167,-0.485403
102252,-0.498067
102337,-0.266465
102422,-0.53589
102507,-0.574275
102593,-0.578037
102678,-0.554087
102764,-0.564346
102849,-0.404878
102935,-0.447313
103020,-0.702621
103106,-0.380408
103192,-0.599343
103278,-0.552251
103364,-0.439402
103450,-0.372034
103536,-0.530674
103622,-0.495206
103709,-0.495509
103795,-0.518212
103882,-0.316681
103968,-0.496798
104055,-0.387802
104141,-0.595607
104228,-0.543679
104315,-0.532805
104402,-0.550866
104488,-0.369892
104575,-0.520955
104663,-0.656751
104750,-0.458915
104837,-0.337432
104924,-0.595058
105012,-0.431989
105099,-0.304145
105187,-0.312641
105274,-0.578002
105362,-0.369819
105450,-0.422679
105537,-0.682985
105625,-0.424304
105713,-0.453874
105801,-0.591929
105889,-0.562425
105977,-0.578649
106066,-0.35259
106154,-0.578573
106242,-0.641567
106331,-0.563196
106419,-0.640359
106508,-0.542797
106597,-0.314043
106685,-0.468319
106774,-0.701528
106863,-0.582171
106952,-0.561072
107041,-0.601795
107130,-0.51291
107220,-0.59053
107309,-0.485253
107398,-0.420672
107488,-0.528058
107577,-0.614379
107667,-0.516234
107756,-0.386427
107846,-0.410687
107936,-0.517484
108026,-0.636315
108116,-0.563299
108206,-0.610749
108296,-0.438871
108386,-0.499517
108476,-0.49505
108566,-0.424916
108657,-0.54498
108747,-0.476863
108838,-0.486865
108929,-0.595268
109019,-0.498932
109110,-0.624857
109201,-0.599089
109292,-0.644392
109383,-0.617302
109474,-0.544416
109565,-0.503444
109656,-0.587955
109748,-0.424307
109839,-0.42573
109930,-0.27355
110022,-0.584499
110114,-0.383484
110205,-0.451779
110297,-0.584326
110389,-0.52693
110481,-0.491106
110573,-0.4385
110665,-0.481335
110757,-0.478603
110849,-0.605335
110941,-0.608813
111034,-0.726286
111126,-0.602726
111219,-0.482418
111311,-0.374036
111404,-0.612214
111497,-0.427062
111590,-0.825992
111683,-0.476592
111776,-0.538937
111869,-0.604195
111962,-0.351624
112055,-0.443349
112148,-0.497998
112242,-0.482237
112335,-0.510101
112429,-0.43923
112522,-0.575526
112616,-0.466365
112710,-0.607627
112804,-0.479133
112898,-0.62331
112992,-0.261006
113086,-0.68008
113180,-0.466117
113274,-0.527566
113368,-0.622052
113463,-0.484726
113557,-0.605646
113652,-0.552936
113746,-0.518799
113841,-0.542296
113936,-0.620937
114031,-0.516844
114126,-0.441413
114221,-0.535866
114316,-0.444608
114411,-0.515769
114506,-0.407178
114602,-0.366076
114697,-0.616751
114793,-0.483445
114888,-0.584952
114984,-0.486621
115080,-0.442503
115175,-0.62745
115271,-0.383201
115367,-0.553913
115463,-0.55917
115559,-0.550413
115656,-0.418441
115752,-0.598099
115848,-0.559158
115945,-0.478631
116041,-0.522241
116138,-0.484659
116235,-0.561553
116331,-0.557303
116428,-0.425108
116525,-0.496558
116622,-0.487296
116719,-0.510778
116817,-0.588969
116914,-0.767625
117011,-0.396812
117109,-0.466166
117206,-0.558219
117304,-0.421516
117401,-0.365302
117499,-0.606502
117597,-0.554744
117695,-0.518964
117793,-0.541685
117891,-0.415892
117989,-0.612185
118087,-0.500367
118186,-0.565852
118284,-0.489804
118383,-0.487886
118481,-0.458815
118580,-0.291154
118679,-0.623065
118777,-0.43347
118876,-0.461664
118975,-0.422201
119074,-0.556945
119173,-0.670593
119273,-0.610447
119372,-0.600184
119471,-0.533887
119571,-0.522459
119670,-0.460491
119770,-0.394909
119870,-0.358314
119970,-0.561767
120070,-0.380691
120170,-0.485919
120270,-0.527011
120370,-0.613242
120470,-0.603767
120570,-0.473971
120671,-0.391281
120771,-0.554369
120872,-0.497237
120972,-0.640715
121073,-0.724573
121174,-0.385785
121275,-0.457559
121376,-0.545782
121477,-0.669703
121578,-0.347662
121679,-0.45851
121780,-0.689228
121882,-0.542729
121983,-0.662506
122085,-0.490811
122187,-0.679003
122288,-0.487035
122390,-0.697101
122492,-0.519661
122594,-0.631979
122696,-0.539577
122798,-0.709691
122901,-0.404759
123003,-0.458686
123105,-0.660862
123208,-0.340265
123310,-0.370855
123413,-0.450718
123516,-0.424237
123619,-0.715441
123722,-0.584504
123825,-0.644089
123928,-0.490398
124031,-0.739987
124134,-0.395137
124238,-0.622217
124341,-0.409907
124445,-0.502866
124548,-0.36193
